Jati
19.7
19.06
18.16
17.66
16.91
16.49
21.67
26.46
30.42
32.53
33.19
33.69
37.85
40.78
43.16
43.95
42.48
32.75
26.37
23.55
22.32
22.17
21.81
21.96
21.8
21.46
21.74
21.81
21.8
21.83
21.96
29.24
32.59
36.01
36.43
35.65
38.87
42.88
40.41
39.6
37.66
31.92
26.95
24.67
23.85
23.36
23.51
23.07
22.68
22.69
21.22
20.94
21.17
21.33
21.88
25.02
29.94
33.17
34.87
35.33
38.25
41.17
42.84
41.66
38.22
31.61
26.76
24.45
23.13
22.25
22.22
22.03
21.92
22.91
23.27
22.03
21.42
21.32
21.43
21.61
21.82
22.45
26.39
31.88
34.09
33.84
33.11
30.93
28.37
25.89
24.4
23.84
23.54
23.41
23.34
23.06
23.15
23.24
22.86
22.35
22.09
22.21
22.43
23.19
25.34
29.37
34.19
34.16
38.18
38.67
38.93
38.78
35.75
29.75
26.23
24.56
23.52
22.68
22.29
21.99
21.72
21.82
21.72
21.53
21.34
21.26
21.85
27.91
29.29
31.12
33.98
34.59
35.98
38.16
38.9
38.96
36.67
30.7
26.71
24.74
23.57
22.51
22.1
22.28
22.71
22.48
22.13
21.76
21.21
20.91
24.32
29.15
29.32
30.69
32.6
33.05
36.16
38.99
37.96
38.97
36.66
30.17
26.42
24.72
23.81
23.2
22.91
23.05
23.37
23.15
23.12
22.64
21.38
20.67
20.7
22.49
25.54
29.51
31.2
31.51
33.71
36.74
38.14
33.95
31.39
28.04
25.52
24.38
23.61
22.75
21.98
21.31
21.31
21.87
22.05
22.31
22.25
22.35
23.17
25.64
28.11
31.48
32.79
34.43
37.89
38.43
39.83
38.97
36.41
30.71
26.53
24.65
23.57
22.66
22.11
21.83
21.8
22.17
22.43
22.08
21.7
21.61
24.1
29.59
32.55
34.53
35.84
36.17
39.29
40.76
40.05
39.05
37.1
31.06
26.2
23.77
22.31
21.43
21.21
21.23
21.45
21.74
21.8
21.44
21.01
20.66
21.97
27.58
32.62
34.99
35.75
35.86
39.3
42.73
40.94
39.84
37.3
31.7
27.04
24.99
24.47
24.03
23.84
23.76
22.16
22.01
21.82
21.74
21.96
21.47
24.49
28.33
30.66
32.68
33.92
34.59
37.4
41.02
43.6
42.65
38.81
31.44
26.54
24.08
22.61
21.75
21.45
21.15
20.7
20.1
19.4
19.06
18.56
18.35
23.53
28.29
31.52
33.79
34.87
35.83
39.25
41.47
41.71
39.5
37.61
31.27
25.93
23.36
21.76
20.77
20.34
20.62
20.7
20.21
19.85
19.75
19.93
20.13
23.52
28.35
32.83
33.77
35.96
35.96
38.14
39.97
40.41
39.87
38.23
31.19
27.03
25.21
24.26
23.47
22.75
22.19
22.68
22.82
22.55
22.26
22.37
22.18
24.26
28.64
29.1
32.05
34.75
35.24
38.01
40.16
41.31
40.85
37.86
31.52
27.53
26.26
25.79
25.01
23.86
23.03
22.49
22.2
22.77
21.61
21.76
21.72
23.04
26.02
27.57
30.32
32.57
34.28
36.52
38.33
35.74
35.03
31.24
27.68
25.45
23.78
22.64
21.92
21.64
21.51
21.83
22
22.18
21.8
21.7
21.62
24.57
27.19
30.89
32.39
32.73
34.36
36.98
39.89
40.63
40.17
37.35
30.74
26.63
24.59
23.17
22.45
22.22
21.94
21.78
22.37
22.03
21.8
21.58
21.69
24.3
27.32
29.71
34.26
35.59
36.17
38.74
40.95
39.73
33.93
24.65
22.95
22.61
22.3
22.26
22.26
21.95
21.81
21.75
21.74
21.43
21.31
21.5
21.68
22.23
25.1
29.39
29.68
31.83
33.57
37.71
39.88
40.88
40.14
37.1
29.28
24.99
23.47
22.97
21.21
20.27
21.15
21.6
21.29
21.17
20.69
19.94
19.2
20.22
23.47
28.97
30.7
34.25
34.01
30.66
29.66
32.38
30.01
26.71
24.29
23.07
22.52
22.05
21.86
21.84
21.69
21.61
21.68
21.14
20.73
20.28
19.77
21.1
25.29
27.11
29.66
31.32
33.13
33.13
37.8
40.36
34.36
28.97
26.23
24.37
22.68
21.31
20.44
19.89
19.84
20.31
20.62
20.53
20.96
20.46
20.65
22.26
24.56
26.13
27.71
28.2
28.34
29.03
29.54
30.14
28.81
27.16
24.95
23.63
21.97
21.28
20.93
20.66
20.37
20.69
20.67
20.51
20.25
20.12
20.17
22.03
25.75
26.23
26.95
28.59
29.59
32.01
36.39
37.7
39.1
36.61
29.47
26.6
25.66
25.13
25
24.41
23.06
22.8
21.98
21.34
20.98
20.33
19.94
23.06
27.7
28.15
29.53
31.49
35.16
36.73
37.31
37.11
35.78
32
27.87
25.06
23.51
23.35
23.76
23.71
22.87
22.53
22.37
22.07
21.95
21.47
21.28
22.05
26.22
29.56
32.85
34.12
35.13
37.91
40.87
41.23
41.58
34.87
29.17
26.5
25.48
24.55
23.61
23.1
22.45
22.17
21.9
21.84
21.67
21.82
21.9
22.34
22.81
23.94
25.47
29.67
31.73
32.02
29.73
36.43
30.21
33.97
28.04
24.51
23.31
23.03
22.91
22.62
22.21
21.83
21.76
21.38
21.22
21.15
21.01
21.15
22.8
24.95
26.62
27.71
31.99
33.14
34.17
36.54
36.04
33.33
27.49
24.39
23.23
22.6
22.5
21.92
21.36
21.08
20.77
20.35
19.94
19.63
19.29
22.18
25.98
27.63
29.09
30.54
32.15
34.71
36.61
37.6
37.34
35.14
28.59
25.33
23.43
22.37
21.85
21.89
22.43
22.47
22.15
22
21.96
21.82
21.55
22.41
25.86
27.74
28
27.08
25.88
28.43
30.73
28.26
27.27
25.08
23.19
22.03
21.81
21.68
21.53
21.38
21.29
20.98
20.72
20.72
20.68
20.62
20.74
22.25
24.36
27.06
28.72
31.39
32.6
36.55
39.1
38.94
34.25
34.11
28.03
24.3
22.91
22.35
22.58
22.68
22
