Itatira
25.01
24.88
24.78
24.47
23.39
22.97
26.26
30.02
32.04
32.27
35.43
36.48
39.77
42.85
42.1
40.78
36.6
33.1
30.91
29.36
27.68
26.49
25.27
24.01
22.93
22.93
23.12
22.99
22.03
21.75
26.33
30.11
27.06
31.62
34.27
35.67
39.44
42.3
41.97
41.47
39.02
32.27
29.07
27.34
26.12
25.02
24.28
23.66
23.92
23.72
22.91
22.52
22.39
21.79
25.88
30.4
32.17
33.74
35.83
36.46
40
42.8
43.54
42.16
36.71
33.01
29.97
28.11
26.93
25.91
25.11
24.57
23.84
23.46
23.25
23.65
22.63
22.24
26.46
28.82
28.01
29.95
32.22
33.71
36.33
38.3
37.13
35.27
31.26
29.19
27.92
27.07
26.01
25.23
24.66
24.16
24
23.62
22.82
22.36
22.77
22.88
24.69
27.98
30.97
33.45
33.06
33.51
36.93
38.35
41.77
37.32
32.35
29.11
27.07
25.96
24.72
23.76
23.13
22.75
22.68
22.58
22.8
22.69
22.2
21.72
24.19
28.83
29.66
33.2
36.02
37.55
42.04
42.62
40.78
37.71
34.3
32.13
29.54
28.25
27.01
26.05
25.41
24.81
24.52
23.69
23.15
22.62
22.02
21.85
23.8
31.8
33.21
37.11
38.07
38.97
37.71
41.5
43.67
42.12
38.4
34.2
31.29
29.47
28.06
26.91
25.88
24.89
24.23
23.47
23.11
22.82
22.66
22.03
26.37
28.64
31.44
33.85
36.39
38.33
43.21
44.72
43.89
38.37
34.24
32.1
30.25
28.83
27.5
26.61
25.81
25.25
24.9
24.28
23.96
24.08
23.93
23.3
24.89
29.22
33.16
34.82
34.68
31.51
27.55
34.32
36.85
31.29
31.55
28.39
26.44
25.46
24.72
24.08
23.48
22.93
22.37
22.06
21.92
21.75
21.99
21.91
25.77
29.54
31.91
32.92
34.14
36.18
38.84
40.36
40.55
40.39
35.5
30.96
28.93
27.7
26.9
26.21
25.47
24.68
23.85
23.05
22.52
22.64
23.4
23.42
25.68
29.94
32.96
34.58
35.2
36.14
38.12
40.47
40.82
40.03
35.92
32.22
29.77
28.6
27.7
26.97
26.21
25.36
24.81
24.75
24.46
23.81
23.29
23.56
27.47
30.73
33.01
32.51
33.48
35.81
38.08
38.11
38.08
41.41
39.44
33.79
30.17
28.35
27.6
26.6
25.51
24.8
24.32
23.87
23.23
22.87
22.7
22.95
27.03
30.29
32.56
34.08
35.67
36.65
37.5
39.34
41.63
42.29
40.93
34.49
31
28.66
27.34
26.11
25.1
24.22
23.28
22.39
21.69
21.19
20.64
19.99
25.14
30.19
32.79
34.7
36.44
37.77
41.47
44.1
44.85
42.31
36.38
33.18
31.11
28.98
27.53
26.28
25.31
24.88
24.76
24.17
23.46
22.7
22.22
22.71
26.22
31.06
34.46
36.78
38.18
38.77
42.1
43.81
44.24
42.79
40.37
33.9
30.03
27.8
26.74
26.16
25.59
25.11
24.72
24.32
24.71
24.35
24.5
24.42
28.05
29.57
30.42
29.21
34.49
34.99
34.87
36.37
35.69
32.3
26.91
24.36
24.15
23.89
23.49
22.97
22.5
22.18
21.99
21.87
21.71
21.6
21.5
21.85
22.62
26.02
34.01
34.33
35.67
36.21
38.74
36.17
33.78
30.83
29.7
28.51
27.25
26.19
24.96
23.93
23.11
22.6
22.2
21.8
21.56
21.45
21.35
21.35
23.7
28.84
33.01
34.9
36.98
37.03
32.14
29.56
25.88
24.36
24.38
23.91
23.52
23.37
23.15
22.87
22.66
22.45
22.35
22.48
22.59
22.44
22.31
22.06
23.7
25.54
28.79
31.84
33.56
35.8
37.97
40.32
41.37
36.33
32.58
29.66
27.04
25.82
25.32
25.17
24.99
24.23
23.66
23.52
23.53
23.49
22.18
