Quixeramobim
26.11
25.59
25.26
25.13
25.13
24.74
27.98
0.00
0.00
0.00
0.00
0.00
42.66
44.67
45.04
44.72
41.88
34.46
31.22
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
38.56
38.55
39.74
40.87
43.14
40.4
33.98
30.64
28.75
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
33.26
34.46
36.01
36.94
36.71
38.63
38.19
38.72
38.35
33.06
30.11
28.16
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
41.79
40.1
41.06
37.4
32.63
30.39
28.78
27.41
26.44
25.78
25.01
24.4
24.00
23.39
23.68
23.47
23.72
25.3
27.83
32.05
34.29
36.6
38.96
40.6
41.85
44.64
45.07
39.75
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
40.81
41.23
44.18
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
43.22
42.83
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
39.29
40.58
37.44
33.27
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
41.54
42.68
44.39
44.46
38.12
32.46
30.56
29.36
28.15
27.32
26.9
26.3
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
40.59
41.57
44.54
45.00
40.6
34.02
31.7
29.92
28.73
27.75
27.31
26.69
25.98
25.83
25.61
25.7
25.43
25.52
27.07
31.8
34.27
36.82
37.69
39.2
41.06
43.86
41.04
43.59
40.11
33.97
31.26
29.66
28.26
27.16
26.41
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
34.85
36.96
39.45
39.3
40.35
43.74
42.24
43.06
37.5
33.93
31.32
29.43
28.12
27.03
26.34
25.73
25.27
24.86
24.23
23.64
23.27
23.00
0.00
0.00
33.78
35.32
37.62
39.7
43.66
45.76
46.76
45.41
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
40.62
43.61
44.26
41.97
38.46
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
25.17
26.01
26.6
28.47
32.04
33.75
41.44
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
22.78
27.07
32.32
33.4
36.00
30.42
30.73
40.85
41.79
42.43
37.5
33.69
30.39
28.37
27.25
26.47
25.68
25.32
25.11
25.18
24.92
24.79
24.23
23.68
23.66
25.04
27.73
32.1
31.95
35.82
37.99
27.95
28.11
29.07
27.67
27.29
25.48
24.08
23.35
23.3
23.38
23.51
23.34
23.43
23.17
23.4
23.32
23.01
22.95
26.98
28.62
31.35
35.11
33.37
36.57
39.74
43.17
44.59
41.78
35.97
32.08
29.74
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
35.21
34.69
32.96
33.21
31.32
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
39.88
35.72
35.5
33.06
28.34
25.98
25.16
24.81
24.52
24.24
24.00
23.62
24.02
24.56
24.65
24.62
24.38
26.29
30.58
0.00
0.00
0.00
0.00
38.01
40.51
42.71
37.25
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
39.58
39.65
37.62
32.85
29.5
27.53
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
0.00
40.44
41.22
37.36
33.43
30.71
25.92
25.66
25.4
24.79
24.32
0.00
0.00
24.16
23.93
24.08
24.38
24.11
23.77
24.34
28.45
30.69
31.93
31.76
34.39
34.66
37.71
39.43
38.14
32.22
29.15
27.48
26.71
25.06
24.43
24.1
23.67
23.36
23.3
23.26
23.11
23.16
23.12
23.77
24.83
26.33
0.00
0.00
32.44
35.00
35.5
35.52
33.62
30.74
27.89
26.15
24.67
24.3
24.2
23.96
23.73
